Question,Answer,Confidence,Source,Index,Case,Level 1 LoE Function,Level 2 LoE Function,Line of Enquiry (Level 1),
"Is there evidence of cost data and assumptions being suitably recorded, to support the cost estimate for the acquisition phase being approved?","Here is a breakdown of the provided context regarding cost data and assumptions recording:

1.  **Evidence explanation:** The text explicitly mentions referencing specific annexes (C, F, G) which contain detailed information on costs, schedules, and programme aspects. This indicates that different facets of the financials are documented in supporting documents.
    **Evidence text:**
        *   ""An overview of the Sustainment solution is at Annex F."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]
        *   ""An update on the Acquisition Programme is detailed at Annex G."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]
        *   ""Technical Infrastructure cost within the ABL is £XXXX, the profile is at Annex C."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]

2.  **Evidence explanation:** The programme's ISD (Integrated Staffing and Development) includes references to specific documents outlining costs and schedules, suggesting these are foundational inputs for planning.
    **Evidence text:**
        *   ""The sunk costs to date are £ XXXX."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]
        *   ""the profile is at Annex C."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]

3.  **Evidence explanation:** The text describes the process of updating and assessing costs during specific phases (Sustainment contract finalisation, acquisition completion) due to programme changes or decisions.
    **Evidence text:**
        *   ""will be assessed and updated during Sustainment contract finalisation."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]
        *   ""Once the acquisition contract is complete, a review of the final costs will be undertaken..."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]

**Confidence:** 60%",,"20250610-Anonymised_FBC_2_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf",76,Financial,Core - Finance,Cost Estimation,Is there evidence of a suitably mature cost estimate for the acquisition phase being approved?,
"Is there evidence of cost data and assumptions being suitably underpinned with source information, including basis-of-estimate, to support the cost estimate for the acquisition phase being approved?","Okay, let's break down the evidence from the provided context.

**Evidence explanation:**
1.  The cost analysis relies on supplier pricing information and external UK comparator data provided by CAAS.
2.  Costs are broken down using a Work Breakdown Structure (WBS) Level 3, separating Labour and Materials costs.
3.  Cost estimates incorporate firm 'ceiling' prices from the COUNTRY Procurement Authority and reflect their built-in risk assumptions.

**Evidence text:**
- ""The analysis will be supported by... SUPPLIER shall provide a report based on the pricing information released by SUPPLIER..."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250609-Anonymised_OBC_2_FINAL.pdf"" target=""_blank"">20250609-Anonymised_OBC_2_FINAL.pdf</a>]
- ""The largest acquisition cost sits with OTHER SUPPLIER ... for which the Company has shared details to Work Breakdown Structure Level -3, divided into Labour and Materials costs."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]
- ""These costs have informed the (3 Point Estimate (3PE)) Best Case and Most Likely Cost Data Assumptions within the Cost Model..."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_6_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_6_FINAL.pdf</a>]

**Confidence level that the evidence is adequate and sufficient:** ""[Confidence: 70%]""

[Source: 20250609-Anonymised_OBC_2_FINAL.txt, Source: 20250610-Anonymised_FBC_2_FINAL.txt, Source: 20250610-Anonymised_FBC_6_FINAL.txt]",70.0,"20250609-Anonymised_OBC_2_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf, 20250610-Anonymised_FBC_6_FINAL.pdf",77,Financial,Core - Finance,Cost Estimation,Is there evidence of a suitably mature cost estimate for the acquisition phase being approved?,
"Is there evidence that cost uncertainty and risk has been suitably estimated and modelled, to support the cost estimate for the acquisition phase being approved?","Here is a breakdown of the evidence regarding cost estimation adequacy:

**Evidence explanation and text:**

-   **Explanation:** The primary model used (`Cost Model`) was informed by firm 'ceiling' prices from the COUNTRY Procurement Authority, which are typically conservative estimates. This authority has been regularly consulted to understand their specific assumptions and built-in risk factors.
    *   **Text:** ""The FMS Case has informed a cost forecast based on firm ‘ceiling’ prices calculated by the COUNTRY Procurement Authority. The DT has engaged routinely with them to ensure that COUNTRY Cost Assumptions and the COUNTRY built-in risk are well understood.""
-   **Explanation:** A robust costing methodology was employed, using three-point estimates (Best Case/Most Likely / Worst Case) which inherently account for uncertainty by considering different scenarios.
    *   **Text:** ""These costs have informed the (3 Point Estimate (3PE)) Best Case and Most Likely Cost Data Assumptions within the Cost Model with additional uncertainty factored into Worst Case estimates; ... These costs [from COUNTRY] have been calculated and included... This has resulted in a robust model...""
-   **Explanation:** The cost model was formally reviewed and assessed by multiple independent bodies, adding credibility to its structure and assumptions regarding country-specific factors.
    *   **Text:** ""This has resulted in a robust model, reviewed and assessed by the PT, COUNTRY Procurement Authority and the Independent CAAS Approvals Team (CAT).""

**Confidence level:**

[Confidence: High]

**Source reference(s):**

[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_6_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_6_FINAL.pdf</a>]",,20250610-Anonymised_FBC_6_FINAL.pdf,78,Financial,Core - Finance,Cost Estimation,Is there evidence of a suitably mature cost estimate for the acquisition phase being approved?,
"Is there evidence that the overall estimated cost risk and uncertainty provision is appropriate for the project type and stage of acquisition and any adjustments justified, to support the cost estimate for the acquisition phase being approved?","Okay, here is an analysis addressing your query:

-   **Evidence explanation:** The text explicitly states that the cost model incorporates UK specific risk costs calculated separately and included in its output. It also confirms that a separate contingent liability allocation has been identified by the DT (Delivery Team) for potential future liabilities related to delivery risks.
    -   **Evidence text:**
        *   ""These costs have informed the... Best Case  and Most Likely Cost Data Assumptions within the Cost Model with additional uncertainty factored into Worst Case estimates; UK specific Risk costings have been calculated and included within the Cost Model output.""
        *   ""That a separate Contingent Liability allocation is being identified by the DT...""
    -   **Confidence level:** [Confidence: 80%]
-   **Evidence explanation:** The process of identifying project risks and their impacts using dedicated tools (Risk Management tool, Project Cost Model) has resulted in quantified financial estimates for these risks (RIC/ROC), which are part of the overall cost assessment.
    -   **Evidence text:**
        *   ""Project Risks are identified and their impacts costed through the DELIVERY ORGANISATION Risk Management tool and Project [PROJECT NAME] Cost Model; this process has identified a RIC. of £ XXXX and ROC of £ XXXX.""
        *   ""(3 Point Estimate (3PE)) Best Case  and Most Likely Cost Data Assumptions...""
    -   **Confidence level:** [Confidence: 75%]
-   **Evidence explanation:** The cost model's three-point estimates inherently factor in uncertainty for the worst-case scenario, which is appropriate for an acquisition phase estimate. Furthermore, adjustments to the delivery schedule based on realistic risk assessment (supply chain challenges) were made and approved by ISD.
    -   **Evidence text:**
        *   ""These costs have informed... additional uncertainty factored into Worst Case estimates...""
        *   ""Therefore, I would request that the programme ISD is approved to P 70 IMS date of DATE , which I believe represents a more realistic delivery schedule.""
    -   **Confidence level:** [Confidence: 85%]

**Source reference(s):**

*   [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_6_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_6_FINAL.pdf</a>]
*   [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]",85.0,"20250610-Anonymised_FBC_6_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf",79,Financial,Core - Finance,Cost Estimation,Is there evidence of a suitably mature cost estimate for the acquisition phase being approved?,
"Is there evidence of appropriate accounting treatments being applied within the cost model, to support the cost estimate for the acquisition phase being approved?","Here is a summary of evidence regarding appropriate accounting treatments for acquisition phase costs:

-   **Evidence explanation:** The cost model explicitly accounts for reductions in scope resulting from Defence Integrated Review decisions by including associated deposit write-offs (£XXXX) and estimated savings on acquisition costs (part d, i).
-   **Evidence text:**
    -   ""With the reduction in scope of the PROGRAMME capability... the deposits paid for those two £XXXX... were written off.""
    -   ""The Programme is predicting reduction in costs of circa £XXXX from the IR decision...""
    -   ""...provided the planned activities""
-   **Confidence level:** [Confidence: 70%]
-   **Source reference(s):** [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_OBC_4_FINAL.pdf"" target=""_blank"">20250610-Anonymised_OBC_4_FINAL.pdf</a>], [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]",70.0,"20250610-Anonymised_OBC_4_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf",80,Financial,Core - Finance,Accounting Treatment,Is there evidence of a suitably mature cost estimate for the acquisition phase being approved?,
"Is there evidence that the cost model is has been suitably verified and validated, to support the cost estimate for the acquisition phase being approved?","Here is the evidence regarding cost model verification and validation:

- Evidence explanation: The text mentions collaboration with DEF CY (Defense Country) on risk analysis using their previously established methods and data, which implies some form of external input or validation. It also states that the cost model was reviewed by multiple independent bodies including the Independent CAAS Approvals Team (CAT).
- Evidence text:
  *   `[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_6_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_6_FINAL.pdf</a>] ... risk analysis through the DELIVERY ORGANISATION Risk Management tool and Project [REDACTED] Cost Model; this process has identified...` *(This sentence confirms use of established tools/methods for cost model input, but doesn't explicitly state verification/validation.)*
  *   `[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_6_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_6_FINAL.pdf</a>] ... the COUNTRY Cost Assumptions and the COUNTRY built-in risk are well understood... These costs have informed the (3 Point Estimate)... within the Cost Model with additional uncertainty factored into Worst Case estimates; UK specific Risk costings have been calculated and included within the Cost Model output. This has resulted in a robust model, reviewed and assessed by the PT, COUNTRY Procurement Authority and the Independent CAAS Approvals Team (CAT).` *(This sentence explicitly states that costs based on DEF CY's data were incorporated into the model after understanding their assumptions/risk, and confirms review/assessment by multiple parties including independent bodies.)*
  *   `[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>] ... an Independent CAAS Approvals Team Report has been submitted to the IAC in parallel with this OBC... The report states that it is the CAT opinion that this OBC is fit for approval, provided the planned activities...` *(This sentence confirms independent validation and approval of the overall basis (OBC) which includes the cost model.)*
- Confidence level: [Confidence: 85%]
- Source reference(s): 
    *   [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_6_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_6_FINAL.pdf</a>] 
    *   [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]",85.0,"20250610-Anonymised_FBC_6_FINAL.pdf, 20250610-Anonymised_FBC_6_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf, 20250610-Anonymised_FBC_6_FINAL.pdf, 20250610-Anonymised_FBC_2_FINAL.pdf",81,Financial,Core - Finance,Cost Estimation,Is there evidence of a suitably mature cost estimate for the acquisition phase being approved?,
Is there evidence of cost benchmarking in support of the cost estimate for the acquisition phase being approved?,"Here is the breakdown:

-   **Evidence explanation:** This discusses a Value for Money (VfM) strategy developed using comparator benchmarks and top-down analysis of rates/supplier costs, which directly supports benchmarking methods applied to the supplier proposal.  
  -   **Evidence text:** ""a VfM Strategy has been developed14 and reviewed by REDACTED , which sets out how costs are broken down and demonstrates VfM using comparator benchmarks and a top -down analysis of material and labour rates and sub -contractor elements that underpin SUPPLIER’s proposal.""  
  -   **Confidence:** [Confidence: 85%]  

-   **Evidence explanation:** This explicitly references the use of historical data (previous customers' prices) adjusted to current economic conditions, which is a form of benchmarking.  
  -   **Evidence text:** ""At unit -price level, Figure 1 (Annex E) illustrates the average price per DELIVERABLE (total acquisition cost) for each previous customer, adjusted to DATE economic conditions,""  
  -   **Confidence:** [Confidence: 80%]  

-   **Evidence explanation:** This confirms that a forecast was based on an inflation adjustment using CPI and an assumed rate, linking the estimate to established benchmarks.  
  -   **Evidence text:** ""This forecast figure uses the latest CPI at time of FBC submission.""  
  -   **Confidence:** [Confidence: 75%]  

**Source reference(s):**
-   [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250609-Anonymised_OBC_2_FINAL.pdf"" target=""_blank"">20250609-Anonymised_OBC_2_FINAL.pdf</a>]
-   [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250606-Anonymised_FBC_1_FINAL.pdf"" target=""_blank"">20250606-Anonymised_FBC_1_FINAL.pdf</a>]",85.0,"20250609-Anonymised_OBC_2_FINAL.pdf, 20250606-Anonymised_FBC_1_FINAL.pdf",82,Financial,Core - Finance,Cost Estimation,Is there evidence of a suitably mature cost estimate for the acquisition phase being approved?,
Is there evidence that a suitable assessment has been made of the overall cost of the programme?,"Here is the evidence regarding the assessment of the overall programme cost:

**Evidence explanation:**
*   There was a detailed Strategic Outline Case (SOC) submitted to justify the investment, implicitly including an assessment of the required capability and associated costs within the timeline and risk parameters.
*   An Accounting Officer (AO) conducted a specific assessment demonstrating that the programme met the four financial standards expected by Parliament and the public for use of public resources. This includes Value for Money (VfM).
*   The final investment decision included an allowance for potential cost increases if procurement reverted to single source, as indicated in the Market Engagement report.

**Evidence text:**
1.  ""In DATE , a Strategic Outline Case (SOC) was submitted... It was therefore requested that approval be granted... To support the SOC, an Accounting Officer (AO) assessment was produced...""
2.  ""Latest D&M EPP estimates""
3.  ""Note . p90 reflects pre -Market Engagement estimate based on competitive outcome still being achievable. Should this not be achievable the Market Engagement report has indicated a potential c.£ XXXX increase in programme costs""

**Confidence level:** [Confidence: 75%]

**Source reference(s):**
[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250610-Anonymised_FBC_2_FINAL.pdf"" target=""_blank"">20250610-Anonymised_FBC_2_FINAL.pdf</a>]
[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250604-Anonymised_OBC_1_FINAL.pdf"" target=""_blank"">20250604-Anonymised_OBC_1_FINAL.pdf</a>]",75.0,"20250610-Anonymised_FBC_2_FINAL.pdf, 20250604-Anonymised_OBC_1_FINAL.pdf",83,Financial,Core - Finance,Cost Estimation,Is there evidence of a suitably mature estimate for the Whole-Life Cost (WLC) of the programme?,
Is there evidence that a suitable cost breakdown structure has been adopted within the WLC model?,"Here is the analysis:

-   **Evidence explanation:** The text indicates that costs submitted by bidders were adjusted and included maintenance, post-design services, spares provision, obsolescence, and software updates (potential components of direct operational support). It then explicitly mentions adding through-life forecasts for staffing, travel, fuels, lubricants, and training to the ESP cost estimate. Furthermore, it refers to a defined Operating and Support Philosophy requiring specific types of periods (routine maintenance, assisted/self-maintenance, annual certification, contractor support) at certain frequencies.
-   **Evidence text:** ""These costs include maintenance, post-design services, spares provision, equipment obsolescence and software updates."" `[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250606-Anonymised_FBC_1_FINAL.pdf"" target=""_blank"">20250606-Anonymised_FBC_1_FINAL.pdf</a>]`. Also, ""...complimented with through life cost forecasts for staffing, victualling, travel and subsistence, fuels, lubricants and training..."" `[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250606-Anonymised_FBC_1_FINAL.pdf"" target=""_blank"">20250606-Anonymised_FBC_1_FINAL.pdf</a>]`.
-   **Confidence level:** [Confidence: 90%]

The evidence shows that the costs are being broken down into specific categories (bidder-submitted adjusted costs, through-life forecasts for various elements) and linked to a defined operational support structure.",90.0,"20250606-Anonymised_FBC_1_FINAL.pdf, 20250606-Anonymised_FBC_1_FINAL.pdf",84,Financial,Core - Finance,Cost Estimation,Is there evidence of a suitably mature estimate for the Whole-Life Cost (WLC) of the programme?,
"Is there evidence of cost data and assumptions being suitably recorded, to support the WLC model?","Here is the breakdown:

1.  **Evidence explanation:** The context establishes that costs for ownership (TOC) include indirect, fixed, and linked costs like personnel, administration, supervision, operations planning, and munitions. It also mentions a Project Through Life Cost (TLC) model capturing these LCC/TOC-related costs.
    *   **Evidence text:**
        `[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250604-Anonymised_OBC_1_FINAL.pdf"" target=""_blank"">20250604-Anonymised_OBC_1_FINAL.pdf</a>]` ""The latter includes, common support equipment, common facilities, personnel required, administration, supervision, operations planning, munitions. TOC represent s all costs associated with ownership of a ‘system’ ; and c. Whole Life Costs (WLCs) which c onsists of the elements that are part of TOC plus indirect, fixed, non -linked costs.""
        `[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250606-Anonymised_FBC_1_FINAL.pdf"" target=""_blank"">20250606-Anonymised_FBC_1_FINAL.pdf</a>]` ""The costs as described in the LCC and TOC will be captured in a Project Through Life Cost (TLC) model.""

2.  **Evidence explanation:** The TLC model is supplemented with forecasts for non-ESP related costs (staffing, victualling, travel, subsistence, fuels, lubricants, training). These forecasts are used alongside the ESP cost estimate to derive total WLC figures.
    *   **Evidence text:**
        `[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250606-Anonymised_FBC_1_FINAL.pdf"" target=""_blank"">20250606-Anonymised_FBC_1_FINAL.pdf</a>]` ""The ESP cost estimate has been complimented with through life cost forecasts for staffing, victualling, travel and subsistence, fuels, lubricants and training to derive the total 10%, 50% and 90% costs detailed in the Table above.""

3.  **Evidence explanation:** The process involves recording specific assumptions used in the initial ESP estimate (like a forecast inflation rate of 2.3%) and categorizing sunk costs by phase, suggesting some structured approach to cost data capture.
    *   **Evidence text:**
        `[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250606-Anonymised_FBC_1_FINAL.pdf"" target=""_blank"">20250606-Anonymised_FBC_1_FINAL.pdf</a>]` ""See Commercial Case for detail . ... This forecast figure uses the latest CPI at time of FBC submission. ... See [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250606-Anonymised_FBC_1_FINAL.pdf"" target=""_blank"">20250606-Anonymised_FBC_1_FINAL.pdf</a>] for competition affordability criteria used an assumed forecast rate of 2.3% set at the outset of the competition.""
        `[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250606-Anonymised_FBC_1_FINAL.pdf"" target=""_blank"">20250606-Anonymised_FBC_1_FINAL.pdf</a>]` ""d. the anticipated sunk costs by Manufacture contract award will total £XXXX , comprised of £ XXXX for C oncept and Initial Assessment Phase (pre-DATE OBC) and £ XXXX for the Competitive Procurement Phase (CPP);""

**Confidence level that the evidence is adequate and sufficient:** [Confidence: 50%]

**Source reference(s):**
[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250604-Anonymised_OBC_1_FINAL.pdf"" target=""_blank"">20250604-Anonymised_OBC_1_FINAL.pdf</a>]
[Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250606-Anonymised_FBC_1_FINAL.pdf"" target=""_blank"">20250606-Anonymised_FBC_1_FINAL.pdf</a>]",50.0,"20250604-Anonymised_OBC_1_FINAL.pdf, 20250606-Anonymised_FBC_1_FINAL.pdf, 20250606-Anonymised_FBC_1_FINAL.pdf, 20250606-Anonymised_FBC_1_FINAL.pdf, 20250606-Anonymised_FBC_1_FINAL.pdf, 20250606-Anonymised_FBC_1_FINAL.pdf, 20250604-Anonymised_OBC_1_FINAL.pdf, 20250606-Anonymised_FBC_1_FINAL.pdf",85,Financial,Core - Finance,Cost Estimation,Is there evidence of a suitably mature estimate for the Whole-Life Cost (WLC) of the programme?,
"Is there evidence of cost data and assumptions being suitably underpinned with source information,  including basis-of-estimate, to support the WLC model?","Here is the evidence regarding the underpinning of cost data and assumptions:

*   **Evidence explanation:** The initial bid costs were adjusted by FBC staff against specific project requirements. ESP support costs are derived from detailed through-life forecasts covering various operational elements. Costs are profiled according to an established operating philosophy with defined maintenance periods.
*   **Evidence text:**
    *   ""These costs include ... appropriately adjusted for realism."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250606-Anonymised_FBC_1_FINAL.pdf"" target=""_blank"">20250606-Anonymised_FBC_1_FINAL.pdf</a>]
    *   ""The ESP cost estimate has been complimented with through life cost forecasts for staffing, victualling, travel and subsistence, fuels, lubricants and training..."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250606-Anonymised_FBC_1_FINAL.pdf"" target=""_blank"">20250606-Anonymised_FBC_1_FINAL.pdf</a>]
    *   ""All costs have been profiled against the (NAME OF PROJECT) Operating and Support Philosophy that requires a combination of routine maintenance... Assisted/Self Maintenance Periods... Annual Certification Periods (ACPs)... and Contractor Support Periods (CSP)..."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250606-Anonymised_FBC_1_FINAL.pdf"" target=""_blank"">20250606-Anonymised_FBC_1_FINAL.pdf</a>]
*   **Confidence level:** [Confidence: 75%]

*   **Evidence explanation:** The WLC model includes specific elements like housing, medical services, and HQ staff. It incorporates the LCC (Levelized Life Cycle Cost) plus indirect costs.
*   **Evidence text:**
    *   ""Whole Life Costs (WLCs) which consists of the elements that are part of TOC [Total Ownership Cost] plus indirect, fixed, non -linked costs."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250604-Anonymised_OBC_1_FINAL.pdf"" target=""_blank"">20250604-Anonymised_OBC_1_FINAL.pdf</a>]
    *   ""The costs as described in the LCC and TOC will be captured in a Project Through Life Cost (TLC) model."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250604-Anonymised_OBC_1_FINAL.pdf"" target=""_blank"">20250604-Anonymised_OBC_1_FINAL.pdf</a>]

*   **Evidence explanation:** The basis-of-estimate for running costs is explicitly stated, mentioning the use of CPI adjustments.
*   **Evidence text:** ""This forecast figure uses the latest CPI at time of FBC submission."" [Source: <a href=""file:///C:/Users/sanc615/OneDrive%20-%20Lendlease/Documents/_DATA/2025_HACK/Vision/INPUT/20250606-Anonymised_FBC_1_FINAL.pdf"" target=""_blank"">20250606-Anonymised_FBC_1_FINAL.pdf</a>]

[Confidence: 75%]",75.0,"20250606-Anonymised_FBC_1_FINAL.pdf, 20250606-Anonymised_FBC_1_FINAL.pdf, 20250606-Anonymised_FBC_1_FINAL.pdf, 20250604-Anonymised_OBC_1_FINAL.pdf, 20250604-Anonymised_OBC_1_FINAL.pdf, 20250606-Anonymised_FBC_1_FINAL.pdf",86,Financial,Core - Finance,Cost Estimation,Is there evidence of a suitably mature estimate for the Whole-Life Cost (WLC) of the programme?,
